ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
59565,Werknesh Kidane,F,22.0,158.0,41.0,Ethiopia,ETH,2004 Summer,2004,Summer,Athina,Athletics,"Athletics Women's 10,000 metres",No Medal
53946,Yacob Jarso Kintra,M,20.0,160.0,50.0,Ethiopia,ETH,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Men's 3,000 metres Steeplechase",No Medal
71340,Denisse Lpez Sing,F,15.0,155.0,54.0,Mexico,MEX,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Women's Individual All-Around,No Medal
39883,Max Wilhelm Friedrich Geuter,M,34.0,182.0,78.0,West Germany,FRG,1972 Summer,1972,Summer,Munich,Fencing,"Fencing Men's epee, Team",No Medal
17872,Philippe Christophe Luciene Candeloro,M,21.0,170.0,60.0,France,FRA,1994 Winter,1994,Winter,Lillehammer,Figure Skating,Figure Skating Men's Singles,Bronze
55554,Jerzy Pawe Jokiel,M,29.0,168.0,61.0,Poland,POL,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Parallel Bars,No Medal
66788,Erik Christian Larsen,M,20.0,,,Denmark,DEN,1948 Summer,1948,Summer,London,Rowing,Rowing Men's Coxed Fours,Bronze
41539,Jess Francisco Gonzlez Cisneros,M,21.0,,,Mexico,MEX,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 100 metres Butterfly,No Medal
56865,Anton Yevgenyevich Kalinichenko,M,19.0,168.0,52.0,Russia,RUS,2002 Winter,2002,Winter,Salt Lake City,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",No Medal
26015,Victor Antnio Rafael de Carvalho,M,35.0,193.0,89.0,Angola,ANG,2004 Summer,2004,Summer,Athina,Basketball,Basketball Men's Basketball,No Medal
27279,Juan Manuel Delgado y Hernndez de Tejada,M,32.0,,,Spain,ESP,1928 Summer,1928,Summer,Amsterdam,Fencing,"Fencing Men's epee, Team",No Medal
92673,Solveig Pedersen (Pettersen-),F,26.0,174.0,63.0,Norway,NOR,1992 Winter,1992,Winter,Albertville,Cross Country Skiing,Cross Country Skiing Women's 5 kilometres,No Medal
63609,Primo Kozmus,M,24.0,188.0,112.0,Slovenia,SLO,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Hammer Throw,No Medal
114653,Francesco Stefani,M,25.0,180.0,69.0,Italy,ITA,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Canadian Singles, Slalom",No Medal
94587,Ricardo Piccinini Alburez,M,39.0,185.0,84.0,Guatemala,GUA,1988 Summer,1988,Summer,Seoul,Football,Football Men's Football,No Medal
61253,Vlastibor Klime,M,26.0,197.0,92.0,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Basketball,Basketball Men's Basketball,No Medal
118084,Hamada Talat,M,35.0,176.0,77.0,Egypt,EGY,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",No Medal
129128,Gerd Weber,M,20.0,180.0,74.0,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Football,Football Men's Football,Gold
78658,Rogelio Mendoza Rojas,M,24.0,171.0,68.0,Mexico,MEX,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Men's Rings,No Medal
105552,Carlos Santander,M,21.0,,,Venezuela,VEN,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 200 metres Freestyle,No Medal
31935,Khalifa El-Bakhti,M,,186.0,75.0,Morocco,MAR,1972 Summer,1972,Summer,Munich,Football,Football Men's Football,No Medal
124900,Henri Louis Marie van Schaik,M,37.0,,,Netherlands,NED,1936 Summer,1936,Summer,Berlin,Equestrianism,"Equestrianism Men's Jumping, Team",Silver
63815,Dieter Kratzsch,M,18.0,180.0,87.0,East Germany,GDR,1968 Winter,1968,Winter,Grenoble,Ice Hockey,Ice Hockey Men's Ice Hockey,No Medal
54248,"Alexander ""Sasha"" Jeltkov",M,26.0,178.0,78.0,Canada,CAN,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Individual All-Around,No Medal
32777,Maria Epple (-Beck),F,24.0,167.0,58.0,West Germany,FRG,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing,Alpine Skiing Women's Giant Slalom,No Medal
79617,Georgi Petrov Mikhalev,M,20.0,182.0,75.0,Bulgaria,BUL,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 200 metres Backstroke,No Medal
80964,Ahmed H. Moharran,M,,,,United Arab Republic,UAR,1960 Summer,1960,Summer,Roma,Diving,Diving Men's Springboard,No Medal
40450,Robert Anthony Ginnetti,M,26.0,176.0,75.0,Italy,ITA,1992 Winter,1992,Winter,Albertville,Ice Hockey,Ice Hockey Men's Ice Hockey,No Medal
56874,Lidiya Gavrilovna Kalinina-Ivanova,F,23.0,164.0,57.0,Soviet Union,URS,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Women's Individual All-Around,No Medal
120519,Andr Alfred Tison,M,27.0,196.0,,France,FRA,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Shot Put,No Medal
96802,Ennio Preatoni,M,23.0,184.0,82.0,Italy,ITA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 100 metres,No Medal
9041,Colin Kenneth Beashel,M,32.0,181.0,87.0,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Sailing,Sailing Mixed Two Person Keelboat,No Medal
98437,"Alexandra Rose ""Aly"" Raisman",F,18.0,157.0,52.0,United States,USA,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Balance Beam,Bronze
51803,Pentti Olavi Ikonen,M,18.0,185.0,81.0,Finland,FIN,1952 Summer,1952,Summer,Helsinki,Swimming,Swimming Men's 100 metres Freestyle,No Medal
119955,Soren Hunter Miles Sussman Thompson,M,23.0,190.0,89.0,United States,USA,2004 Summer,2004,Summer,Athina,Fencing,"Fencing Men's epee, Individual",No Medal
4392,Marina Vyacheslavovna Anissina (-Dzhigurda),F,26.0,162.0,52.0,France-1,FRA,2002 Winter,2002,Winter,Salt Lake City,Figure Skating,Figure Skating Mixed Ice Dancing,Gold
81797,Mara Luisa Morales,F,14.0,146.0,45.0,Mexico,MEX,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Women's Team All-Around,No Medal
121115,Martin Toporek,M,23.0,178.0,63.0,Austria,AUT,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 20 kilometres Walk,No Medal
96306,David Kevin Porter,M,46.0,166.0,73.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Shooting,"Shooting Men's Free Pistol, 50 metres",No Medal
92236,Gheorghe Punescu,M,24.0,173.0,65.0,Romania,ROU,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Men's Individual All-Around,No Medal
22653,Gerardo Conforti,M,33.0,,,Italy,ITA,1936 Summer,1936,Summer,Berlin,Equestrianism,"Equestrianism Men's Jumping, Individual",No Medal
52323,Muhammad Iqbal,M,31.0,172.0,73.0,Pakistan,PAK,1960 Summer,1960,Summer,Roma,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",No Medal
94301,Barbara Jean Pexa,F,17.0,,,Guam,GUM,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 200 metres Breaststroke,No Medal
60936,Isaac Leonard Kitts,M,36.0,,,United States,USA,1932 Summer,1932,Summer,Los Angeles,Equestrianism,"Equestrianism Men's Dressage, Individual",No Medal
18711,Jos Casabona Pern,M,23.0,172.0,68.0,Spain,ESP,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 4 x 400 metres Relay,No Medal
52311,Emilio Iovio,M,29.0,175.0,82.0,Italy,ITA,1992 Winter,1992,Winter,Albertville,Ice Hockey,Ice Hockey Men's Ice Hockey,No Medal
44018,Mark Gurr,M,22.0,185.0,70.0,Zimbabwe,ZIM,1988 Summer,1988,Summer,Seoul,Tennis,Tennis Men's Doubles,No Medal
31857,Johan Elof Ekman,M,57.0,,,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Shooting,"Shooting Men's Running Target, Single Shot",No Medal
68481,Stanley Leigh,M,22.0,,,Great Britain,GBR,1924 Summer,1924,Summer,Paris,Gymnastics,Gymnastics Men's Side Horse,No Medal
127891,Jean Wagner,M,30.0,185.0,95.0,Luxembourg,LUX,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's Discus Throw,No Medal
60426,Toyoko Kimura,F,18.0,166.0,66.0,Japan,JPN,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Women's 100 metres Freestyle,No Medal
78307,Alexandra Meissnitzer,F,24.0,165.0,62.0,Austria,AUT,1998 Winter,1998,Winter,Nagano,Alpine Skiing,Alpine Skiing Women's Downhill,No Medal
116112,Paola Lorena Surez,F,28.0,170.0,64.0,Argentina,ARG,2004 Summer,2004,Summer,Athina,Tennis,Tennis Women's Doubles,Bronze
97075,Valery Viktorovich Priyemko,M,29.0,177.0,78.0,Belarus,BLR,2012 Summer,2012,Summer,London,Fencing,"Fencing Men's Sabre, Team",No Medal
35634,Gale Lillian Fitzgerald,F,21.0,190.0,67.0,United States,USA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Women's Pentathlon,No Medal
56244,Arsen Julfalakyan,M,29.0,166.0,76.0,Armenia,ARM,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",No Medal
118241,Pter Tamtom,M,24.0,180.0,105.0,Hungary,HUN,2000 Summer,2000,Summer,Sydney,Weightlifting,Weightlifting Men's Heavyweight,No Medal
93550,Ghislain Gabriel Perrier,M,29.0,179.0,75.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Men's Foil, Individual",No Medal
122530,Olaf Karl Tufte,M,32.0,193.0,94.0,Norway,NOR,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Single Sculls,Gold
12416,"Max Theodore Bly, Sr.",M,30.0,,,United States-2,USA,1936 Winter,1936,Winter,Garmisch-Partenkirchen,Bobsleigh,Bobsleigh Men's Four,No Medal
75332,Antnio Martins Marquilhas,M,27.0,170.0,68.0,Portugal,POR,1960 Summer,1960,Summer,Roma,Fencing,"Fencing Men's Sabre, Team",No Medal
35087,John Erle Fethers,M,22.0,,,Australia,AUS,1952 Summer,1952,Summer,Helsinki,Fencing,"Fencing Men's epee, Individual",No Medal
39131,Giovanni Angelo Gavagnin,M,28.0,200.0,94.0,Italy,ITA,1964 Summer,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,No Medal
91393,Silvia Parera Carrau,F,22.0,168.0,59.0,Spain,ESP,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 200 metres Individual Medley,No Medal
16323,Karel Bulan,M,32.0,170.0,84.0,Czechoslovakia,TCH,1972 Summer,1972,Summer,Munich,Shooting,"Shooting Mixed Free Rifle, Three Positions, 300 metres",No Medal
79896,Hubert Gene Miller,M,33.0,,,United States-2,USA,1952 Winter,1952,Winter,Oslo,Bobsleigh,Bobsleigh Men's Four,No Medal
47973,"Willem ""Wim"" Hermsen",M,24.0,183.0,80.0,Netherlands,NED,1972 Summer,1972,Summer,Munich,Water Polo,Water Polo Men's Water Polo,No Medal
68440,Mirja Annikki Lehtonen (-Kierros),F,21.0,165.0,54.0,Finland,FIN,1964 Winter,1964,Winter,Innsbruck,Cross Country Skiing,Cross Country Skiing Women's 3 x 5 kilometres Relay,Bronze
12594,Meeri Annikki Bodelid (Jaako-),F,28.0,151.0,46.0,Sweden,SWE,1972 Winter,1972,Winter,Sapporo,Cross Country Skiing,Cross Country Skiing Women's 3 x 5 kilometres Relay,No Medal
63308,Mikhail Koussis,M,30.0,169.0,58.0,Greece,GRE,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Marathon,No Medal
52299,Ermanno Ioriatti,M,22.0,185.0,80.0,Italy,ITA,1998 Winter,1998,Winter,Nagano,Speed Skating,"Speed Skating Men's 1,500 metres",No Medal
16061,"Annemarie ""Mirl"" Buchner (Fischer-)",F,31.0,,,Germany,GER,1956 Winter,1956,Winter,Cortina d'Ampezzo,Alpine Skiing,Alpine Skiing Women's Slalom,No Medal
