Athlete_Name,Athlete_Sex,Athlete_Age,Athlete_Height (cm),Athlete_Weight (Kg),Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Athlete_Height,Athlete_Weight
Marcelus Marcili Marcili Silva dos Santos,M,23.0,187.0,88.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Double Sculls,No Medal,187.0,88.0
Krastana Stoeva,F,19.0,178.0,69.0,Bulgaria,BUL,1960 Winter,1960,Winter,Squaw Valley,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,No Medal,178.0,69.0
Wassila Rdouane-Sad-Guerni,F,19.0,168.0,64.0,Algeria,ALG,2000 Summer,2000,Summer,Sydney,Fencing,"Fencing Women's Foil, Individual",No Medal,168.0,64.0
Noor Alam,M,30.0,172.0,73.0,Pakistan,PAK,1960 Summer,1960,Summer,Roma,Hockey,Hockey Men's Hockey,Gold,172.0,73.0
Ivo Pertile,M,20.0,188.0,78.0,Italy,ITA,1992 Winter,1992,Winter,Albertville,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",No Medal,188.0,78.0
John Joseph Flanagan,M,32.0,178.0,95.0,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's Discus Throw,No Medal,178.0,95.0
Yasuyuki Saigo,M,23.0,185.0,79.0,Japan,JPN,1996 Summer,1996,Summer,Atlanta,Baseball,Baseball Men's Baseball,Silver,185.0,79.0
Cadel Lee Evans,M,23.0,174.0,65.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Cycling,"Cycling Men's Mountainbike, Cross-Country",No Medal,174.0,65.0
Cornel Porumb,M,21.0,190.0,75.0,Romania,ROU,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's High Jump,No Medal,190.0,75.0
Dagmara Katarzyna Komorowicz,F,17.0,170.0,54.0,Poland,POL,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 100 metres Backstroke,No Medal,170.0,54.0
Peter Arnold Vogler,M,31.0,182.0,78.0,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Baseball,Baseball Men's Baseball,No Medal,182.0,78.0
Bertil Gustafsson Uggla,M,21.0,173.0,69.0,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Pole Vault,Bronze,173.0,69.0
Nicole Brandebusemeyer,F,25.0,174.0,60.0,Germany,GER,2000 Summer,2000,Summer,Sydney,Football,Football Women's Football,Bronze,174.0,60.0
Giaan Leigh Rooney,F,21.0,175.0,63.0,Australia,AUS,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 100 metres Backstroke,No Medal,175.0,63.0
Wang Yimei,F,20.0,190.0,90.0,China,CHN,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,Bronze,190.0,90.0
"Jozefus Alphons Marie ""Jo"" Rutten",M,50.0,187.0,90.0,Netherlands,NED,1984 Summer,1984,Summer,Los Angeles,Equestrianism,"Equestrianism Mixed Dressage, Individual",No Medal,187.0,90.0
Jochen Friedrich Behle,M,37.0,183.0,73.0,Germany,GER,1998 Winter,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,No Medal,183.0,73.0
Paul Mller,M,22.0,166.0,54.0,Switzerland,SUI,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Men's Horizontal Bar,No Medal,166.0,54.0
Bigna Windmller,F,22.0,167.0,51.0,Switzerland,SUI,2014 Winter,2014,Winter,Sochi,Ski Jumping,"Ski Jumping Women's Normal Hill, Individual",No Medal,167.0,51.0
