Athlete_Name,Athlete_Sex,Athlete_Age,Athlete_Height (cm),Athlete_Weight (Kg),Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Athlete_Height,Athlete_Weight
Tadahiro Kosaka,M,28.0,179.0,65.0,Japan,JPN,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 50 kilometres Walk,No Medal,179.0,65.0
Marano Bucio Ramrez,M,33.0,168.0,72.0,Mexico,MEX,1976 Summer,1976,Summer,Montreal,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",No Medal,168.0,72.0
Per Owe Adamson,M,25.0,171.0,65.0,Sweden,SWE,1960 Summer,1960,Summer,Roma,Cycling,"Cycling Men's Road Race, Individual",No Medal,171.0,65.0
Sebastian Fleischer,M,18.0,179.0,74.0,Denmark,DEN,2012 Summer,2012,Summer,London,Sailing,Sailing Men's Windsurfer,No Medal,179.0,74.0
Franco De Pedrina,M,23.0,184.0,83.0,Italy,ITA,1964 Summer,1964,Summer,Tokyo,Rowing,Rowing Men's Coxed Fours,Silver,184.0,83.0
Aleksi Benianidze,M,22.0,184.0,80.0,Georgia,GEO,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Men's Giant Slalom,No Medal,184.0,80.0
Jean-Fernand Leischen,M,32.0,175.0,70.0,Luxembourg,LUX,1952 Summer,1952,Summer,Helsinki,Fencing,"Fencing Men's epee, Individual",No Medal,175.0,70.0
Javier Carbayeda Echeverra,M,21.0,178.0,68.0,Spain,ESP,1988 Summer,1988,Summer,Seoul,Cycling,Cycling Men's 100 kilometres Team Time Trial,No Medal,178.0,68.0
Jos Ferraioli,M,20.0,180.0,77.0,Puerto Rico,PUR,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 4 x 100 metres Medley Relay,No Medal,180.0,77.0
Herbert Hohenberger,M,25.0,182.0,88.0,Austria,AUT,1994 Winter,1994,Winter,Lillehammer,Ice Hockey,Ice Hockey Men's Ice Hockey,No Medal,182.0,88.0
Michael John Saywell,M,29.0,180.0,69.0,Great Britain,GBR,1972 Summer,1972,Summer,Munich,Equestrianism,"Equestrianism Mixed Jumping, Team",No Medal,180.0,69.0
Hana Krejov,F,27.0,178.0,72.0,Czechoslovakia,TCH,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Women's Quadruple Sculls,No Medal,178.0,72.0
Jo Seong-Min,M,24.0,161.0,58.0,South Korea,KOR,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Rings,No Medal,161.0,58.0
Charles Robert Brookins,M,24.0,175.0,64.0,United States,USA,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 400 metres Hurdles,No Medal,175.0,64.0
Kim Hyeon-Seop,M,31.0,175.0,53.0,South Korea,KOR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 20 kilometres Walk,No Medal,175.0,53.0
Mitsuyo Nagumo,F,20.0,155.0,57.0,Japan,JPN,1972 Winter,1972,Winter,Sapporo,Alpine Skiing,Alpine Skiing Women's Giant Slalom,No Medal,155.0,57.0
Zsolt Antal,M,33.0,175.0,68.0,Romania,ROU,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,No Medal,175.0,68.0
Hana Nesvadbov,F,19.0,162.0,56.0,Czechoslovakia,TCH,1964 Winter,1964,Winter,Innsbruck,Luge,Luge Women's Singles,No Medal,162.0,56.0
Huang Xu,M,21.0,162.0,59.0,China,CHN,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Parallel Bars,No Medal,162.0,59.0
Celeste Plak,F,20.0,190.0,90.0,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,No Medal,190.0,90.0
Tea Pali,F,18.0,161.0,59.0,Croatia,CRO,2010 Winter,2010,Winter,Vancouver,Alpine Skiing,Alpine Skiing Women's Giant Slalom,No Medal,161.0,59.0
"Anastasios ""Tasos"" Bountouris",M,36.0,186.0,103.0,Greece,GRE,1992 Summer,1992,Summer,Barcelona,Sailing,Sailing Mixed Three Person Keelboat,No Medal,186.0,103.0
Shin Doo-Sun,M,21.0,170.0,60.0,South Korea,KOR,1998 Winter,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,No Medal,170.0,60.0
Freddy Quintero Linares,M,22.0,170.0,68.0,Venezuela,VEN,1960 Summer,1960,Summer,Roma,Fencing,"Fencing Men's Foil, Team",No Medal,170.0,68.0
tefan Tampa,M,21.0,173.0,78.0,Romania,ROU,1964 Summer,1964,Summer,Tokyo,Wrestling,"Wrestling Men's Welterweight, Freestyle",No Medal,173.0,78.0
Li Shuang,F,21.0,169.0,63.0,China,CHN,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Women's Halfpipe,No Medal,169.0,63.0
Atsuko Takata,F,24.0,154.0,52.0,Japan,JPN,2002 Winter,2002,Winter,Salt Lake City,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",No Medal,154.0,52.0
Marjorie Jackson (-Nelson),F,20.0,172.0,66.0,Australia,AUS,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Women's 100 metres,Gold,172.0,66.0
Kaveh Sadegh Mousavi,M,27.0,203.0,120.0,Iran,IRI,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Hammer Throw,No Medal,203.0,120.0
Alan Lawrence Culpepper,M,31.0,186.0,59.0,United States,USA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Marathon,No Medal,186.0,59.0
Juan Jos Veloz Dvila,M,21.0,185.0,80.0,Mexico,MEX,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 200 metres Butterfly,No Medal,185.0,80.0
Annick Vaxelaire-Pierrel,F,23.0,166.0,58.0,France,FRA,1998 Winter,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,No Medal,166.0,58.0
"Thomas Alfred Terence ""Terry"" Malkin",M,28.0,178.0,72.0,Great Britain,GBR,1964 Winter,1964,Winter,Innsbruck,Speed Skating,"Speed Skating Men's 10,000 metres",No Medal,178.0,72.0
Costel Pavel Mutescu,M,26.0,191.0,90.0,Romania,ROU,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxed Eights,No Medal,191.0,90.0
Bjrn Kircheisen,M,18.0,183.0,69.0,Germany,GER,2002 Winter,2002,Winter,Salt Lake City,Nordic Combined,Nordic Combined Men's Individual,No Medal,183.0,69.0
Wen Chia-Ling,F,22.0,160.0,54.0,Chinese Taipei,TPE,2000 Summer,2000,Summer,Sydney,Archery,Archery Women's Team,No Medal,160.0,54.0
Maryna Oleksandrivna Bekh,F,21.0,174.0,62.0,Ukraine,UKR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Long Jump,No Medal,174.0,62.0
Miroslav Beri,M,23.0,198.0,92.0,Serbia and Montenegro,SCG,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Men's Basketball,Silver,198.0,92.0
Patrick Hoffmann,M,27.0,184.0,77.0,Germany,GER,2002 Winter,2002,Winter,Salt Lake City,Curling,Curling Men's Curling,No Medal,184.0,77.0
Karlo Kuret,M,34.0,186.0,100.0,Croatia,CRO,2004 Summer,2004,Summer,Athina,Sailing,Sailing Men's One Person Dinghy,No Medal,186.0,100.0
Uwe Nepp,M,21.0,187.0,70.0,West Germany,FRG,1988 Summer,1988,Summer,Seoul,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",No Medal,187.0,70.0
Vadim Arkhipchuk,M,27.0,182.0,75.0,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 400 metres,No Medal,182.0,75.0
Oumou Traor,F,26.0,183.0,84.0,Mali,MLI,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Discus Throw,No Medal,183.0,84.0
Francesco Esposito,M,29.0,170.0,72.0,Italy,ITA,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Double Sculls,No Medal,170.0,72.0
Kurt Harold Ainsworth,M,22.0,187.0,84.0,United States,USA,2000 Summer,2000,Summer,Sydney,Baseball,Baseball Men's Baseball,Gold,187.0,84.0
Oliver Walther,M,23.0,163.0,55.0,Germany,GER,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Men's Rings,No Medal,163.0,55.0
Julia Lyman Trotman (-Brady),F,24.0,170.0,57.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Sailing,Sailing Women's One Person Dinghy,Bronze,170.0,57.0
Jerzy Zdzisaw Kulej,M,23.0,167.0,66.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Boxing,Boxing Men's Light-Welterweight,Gold,167.0,66.0
"Angela Denise Coughlan (-Arusoo, -Sharp)",F,16.0,168.0,59.0,Canada,CAN,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze,168.0,59.0
Gail Emmanuel,F,21.0,175.0,58.0,Trinidad and Tobago,TTO,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 400 metres,No Medal,175.0,58.0
Ilze Gribule,F,20.0,175.0,81.0,Latvia,LAT,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Javelin Throw,No Medal,175.0,81.0
Christina Eklund (-Olsson),F,24.0,166.0,60.0,Sweden,SWE,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Women's 7.5 kilometres Sprint,No Medal,166.0,60.0
Olivier Schoenfelder,M,24.0,183.0,75.0,France-2,FRA,2002 Winter,2002,Winter,Salt Lake City,Figure Skating,Figure Skating Mixed Ice Dancing,No Medal,183.0,75.0
Yu Minobe,F,22.0,148.0,38.0,Japan,JPN,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Team All-Around,No Medal,148.0,38.0
Elina Mykhailivna Svitolina,F,21.0,174.0,60.0,Ukraine,UKR,2016 Summer,2016,Summer,Rio de Janeiro,Tennis,Tennis Women's Singles,No Medal,174.0,60.0
Iskra Velinova,F,26.0,171.0,72.0,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Women's Coxed Fours,Silver,171.0,72.0
Muhammad Mansha,M,22.0,168.0,58.0,Pakistan,PAK,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 200 metres,No Medal,168.0,58.0
Nicole Sanderson,F,28.0,182.0,65.0,Australia-1,AUS,2004 Summer,2004,Summer,Athina,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,No Medal,182.0,65.0
Iryna Leonidivna Taranenko-Terelia,F,31.0,160.0,55.0,Ukraine,UKR,1998 Winter,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Women's 5 kilometres,No Medal,160.0,55.0
Esko Uolevi Valkama,M,27.0,178.0,74.5,Finland,FIN,1952 Summer,1952,Summer,Helsinki,Football,Football Men's Football,No Medal,178.0,74.5
Gillian Mary Sheen (-Donaldson),F,28.0,168.0,64.0,Great Britain,GBR,1956 Summer,1956,Summer,Melbourne,Fencing,"Fencing Women's Foil, Individual",Gold,168.0,64.0
Fernando Bertrand Garca-Taheo,M,21.0,170.0,67.0,Spain,ESP,1976 Summer,1976,Summer,Montreal,Gymnastics,Gymnastics Men's Parallel Bars,No Medal,170.0,67.0
Andrew J. Morris,M,26.0,168.0,65.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Men's Horizontal Bar,No Medal,168.0,65.0
Josephus Thomas,M,25.0,186.0,82.0,Sierra Leone,SLE,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,No Medal,186.0,82.0
Murat Ramonov,M,26.0,192.0,120.0,Kyrgyzstan,KGZ,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",No Medal,192.0,120.0
Michael Whitaker,M,24.0,172.0,69.0,Great Britain,GBR,1984 Summer,1984,Summer,Los Angeles,Equestrianism,"Equestrianism Mixed Jumping, Individual",No Medal,172.0,69.0
Bernard Decoux,M,19.0,164.0,60.0,France,FRA,1976 Summer,1976,Summer,Montreal,Gymnastics,Gymnastics Men's Parallel Bars,No Medal,164.0,60.0
Alfredo Duvergel Adams,M,28.0,169.0,71.0,Cuba,CUB,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Light-Middleweight,Silver,169.0,71.0
Francesco Bruno,M,30.0,170.0,65.0,Italy,ITA,2008 Summer,2008,Summer,Beijing,Shooting,"Shooting Men's Free Pistol, 50 metres",No Medal,170.0,65.0
Ins Margraff,F,30.0,158.0,53.0,Ecuador,ECU,1988 Summer,1988,Summer,Seoul,Shooting,"Shooting Women's Air Pistol, 10 metres",No Medal,158.0,53.0
Jens Mller,M,32.0,175.0,75.0,Germany,GER,1998 Winter,1998,Winter,Nagano,Luge,Luge Men's Singles,Bronze,175.0,75.0
Tomasz Krzeszewski,M,29.0,184.0,82.0,Poland,POL,2004 Summer,2004,Summer,Athina,Table Tennis,Table Tennis Men's Doubles,No Medal,184.0,82.0
Pietro Masala,M,28.0,156.0,68.0,West Germany,FRG,1972 Summer,1972,Summer,Munich,Weightlifting,Weightlifting Men's Lightweight,No Medal,156.0,68.0
"Konstantinos ""Kostas"" Mourikis",M,24.0,197.0,109.0,Greece,GRE,2012 Summer,2012,Summer,London,Water Polo,Water Polo Men's Water Polo,No Medal,197.0,109.0
Arsen Shakhlamazovich Alakhverdiyev,M,23.0,154.0,52.0,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Wrestling,"Wrestling Men's Flyweight, Freestyle",Silver,154.0,52.0
Drago otari,M,29.0,169.0,69.0,Yugoslavia,YUG,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Men's Parallel Bars,No Medal,169.0,69.0
Sami Belgroun,M,29.0,188.0,100.0,Algeria,ALG,2004 Summer,2004,Summer,Athina,Judo,Judo Men's Half-Heavyweight,No Medal,188.0,100.0
Atsushi Kazama,M,33.0,174.0,63.0,Japan,JPN,1998 Winter,1998,Winter,Nagano,Biathlon,Biathlon Men's 10 kilometres Sprint,No Medal,174.0,63.0
Petr Matouek,M,22.0,181.0,82.0,Czechoslovakia,TCH,1972 Summer,1972,Summer,Munich,Cycling,Cycling Men's 100 kilometres Team Time Trial,No Medal,181.0,82.0
Geir Hallsteinsson,M,26.0,185.0,76.0,Iceland,ISL,1972 Summer,1972,Summer,Munich,Handball,Handball Men's Handball,No Medal,185.0,76.0
Ling Wan Ting,F,23.0,166.0,54.0,Hong Kong,HKG,2004 Summer,2004,Summer,Athina,Badminton,Badminton Women's Singles,No Medal,166.0,54.0
Li Na,F,27.0,177.0,67.0,China,CHN,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Women's epee, Individual",No Medal,177.0,67.0
Jerzy Janusz Opara,M,27.0,176.0,80.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",No Medal,176.0,80.0
Mara Alejandra Vento-Kabchi,F,26.0,168.0,64.0,Venezuela,VEN,2000 Summer,2000,Summer,Sydney,Tennis,Tennis Women's Singles,No Medal,168.0,64.0
Wu Peng,M,25.0,185.0,76.0,China,CHN,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 200 metres Individual Medley,No Medal,185.0,76.0
John Bryan Herring,M,29.0,180.0,63.0,Great Britain,GBR,1964 Summer,1964,Summer,Tokyo,Athletics,"Athletics Men's 5,000 metres",No Medal,180.0,63.0
Xiao Aihua,F,17.0,181.0,70.0,China,CHN,1988 Summer,1988,Summer,Seoul,Fencing,"Fencing Women's Foil, Team",No Medal,181.0,70.0
Trevor Ivan Coker,M,26.0,192.0,87.0,New Zealand,NZL,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Men's Coxed Eights,Bronze,192.0,87.0
"Christopher ""Chris"" Allen (-Ellis)",M,24.0,177.0,68.0,Australia,AUS,1984 Winter,1984,Winter,Sarajevo,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,No Medal,177.0,68.0
"Anthony Howard ""Tony"" Ekins",M,28.0,185.0,82.0,Great Britain,GBR,1972 Summer,1972,Summer,Munich,Hockey,Hockey Men's Hockey,No Medal,185.0,82.0
"Beatrix ""Trixi"" Worrack",F,34.0,159.0,50.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Women's Road Race, Individual",No Medal,159.0,50.0
Csaba Csatls,M,18.0,180.0,80.0,Hungary,HUN,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 100 metres Freestyle,No Medal,180.0,80.0
Craig MacLean,M,29.0,174.0,87.0,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Cycling,Cycling Men's Sprint,No Medal,174.0,87.0
Mathieu Turgeon,M,21.0,180.0,84.0,Canada,CAN,2000 Summer,2000,Summer,Sydney,Trampolining,Trampolining Men's Individual,Bronze,180.0,84.0
Istvn Osztrics,M,26.0,183.0,78.0,Hungary,HUN,1976 Summer,1976,Summer,Montreal,Fencing,"Fencing Men's epee, Individual",No Medal,183.0,78.0
Lauris Drzi,M,25.0,191.0,91.0,Latvia,LAT,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Men's Ice Hockey,No Medal,191.0,91.0
Emil Petru,M,25.0,178.0,76.0,Romania,ROU,1964 Summer,1964,Summer,Tokyo,Football,Football Men's Football,No Medal,178.0,76.0
Edith Bosch,F,20.0,183.0,70.0,Netherlands,NED,2000 Summer,2000,Summer,Sydney,Judo,Judo Women's Middleweight,No Medal,183.0,70.0
Zuzana Bergrov,F,27.0,175.0,64.0,Czech Republic,CZE,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 4 x 400 metres Relay,No Medal,175.0,64.0
Marielle Guichard,F,20.0,170.0,52.0,France,FRA,1984 Summer,1984,Summer,Los Angeles,Cycling,"Cycling Women's Road Race, Individual",No Medal,170.0,52.0
Olga Vyacheslavovna Dovgun (Belyayeva-),F,41.0,166.0,56.0,Kazakhstan,KAZ,2012 Summer,2012,Summer,London,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",No Medal,166.0,56.0
Jean Pierre Boudehen,M,29.0,175.0,68.0,France,FRA,1968 Summer,1968,Summer,Mexico City,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",No Medal,175.0,68.0
Marissa Petra King,F,17.0,154.0,53.0,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Balance Beam,No Medal,154.0,53.0
Olympia Aldersey,F,24.0,183.0,75.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,No Medal,183.0,75.0
Francisco Gonzlez Suaste,M,21.0,185.0,71.0,Mexico,MEX,1968 Summer,1968,Summer,Mexico City,Volleyball,Volleyball Men's Volleyball,No Medal,185.0,71.0
John Van Hoek,M,23.0,176.0,69.0,Australia,AUS,1976 Summer,1976,Summer,Montreal,Judo,Judo Men's Half-Middleweight,No Medal,176.0,69.0
Takaharu Furukawa,M,27.0,174.0,89.0,Japan,JPN,2012 Summer,2012,Summer,London,Archery,Archery Men's Individual,Silver,174.0,89.0
Onni Olavi Kasslin,M,21.0,176.0,80.0,Finland,FIN,1948 Summer,1948,Summer,London,Cycling,"Cycling Men's 1,000 metres Time Trial",No Medal,176.0,80.0
Giuseppe Steiner,M,34.0,170.0,71.0,Italy,ITA,1964 Winter,1964,Winter,Innsbruck,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,No Medal,170.0,71.0
Nadezhda Valentinovna Burlakova (Shamakova-),F,24.0,165.0,59.0,Soviet Union,URS,1984 Winter,1984,Winter,Sarajevo,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,No Medal,165.0,59.0
Colin Stirling Ryrie,M,34.0,189.0,85.0,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Sailing,Sailing Mixed One Person Dinghy,No Medal,189.0,85.0
Juan Carlos Rodrguez,M,20.0,168.0,70.0,Spain,ESP,1976 Summer,1976,Summer,Montreal,Judo,Judo Men's Half-Middleweight,No Medal,168.0,70.0
Brian Dzingai,M,23.0,167.0,67.0,Zimbabwe,ZIM,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 200 metres,No Medal,167.0,67.0
Kaori Iwasaki,F,15.0,163.0,53.0,Japan,JPN,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 200 metres Breaststroke,No Medal,163.0,53.0
Toivo Anselm Telen,M,28.0,188.0,90.0,Finland,FIN,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's Shot Put,No Medal,188.0,90.0
Albert Webster,M,27.0,175.0,66.0,Great Britain,GBR,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 800 metres,No Medal,175.0,66.0
Gervasio Deferr ngel,M,27.0,166.0,69.0,Spain,ESP,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Individual All-Around,No Medal,166.0,69.0
John Samuel Andru,M,35.0,179.0,79.0,Canada,CAN,1968 Summer,1968,Summer,Mexico City,Fencing,"Fencing Men's epee, Team",No Medal,179.0,79.0
Gyula Tth,M,36.0,176.0,63.0,Hungary,HUN,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Marathon,No Medal,176.0,63.0
Heather Brand,F,25.0,173.0,60.0,Zimbabwe,ZIM,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 100 metres Butterfly,No Medal,173.0,60.0
Sotirios Trakas,M,17.0,170.0,62.0,Greece,GRE,2004 Summer,2004,Summer,Athina,Diving,Diving Men's Platform,No Medal,170.0,62.0
Paola Paggi,F,27.0,182.0,75.0,Italy,ITA,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Women's Volleyball,No Medal,182.0,75.0
Fernando Fabricio Salas Manguis,M,28.0,186.0,155.0,Ecuador,ECU,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Super-Heavyweight,No Medal,186.0,155.0
Cui Yingzi,F,21.0,159.0,51.0,China,CHN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's 10 kilometres Walk,No Medal,159.0,51.0
Morteza Sepahvandi,M,28.0,174.0,64.0,Iran,IRI,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Men's Light-Welterweight,No Medal,174.0,64.0
Jana Mlakar,F,21.0,174.0,57.0,Yugoslavia,YUG,1984 Winter,1984,Winter,Sarajevo,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,No Medal,174.0,57.0
Sabine Vlker,F,32.0,162.0,58.0,Germany,GER,2006 Winter,2006,Winter,Torino,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),Gold,162.0,58.0
Stefan Klin,M,21.0,180.0,70.0,Switzerland,SUI,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Slalom,No Medal,180.0,70.0
Erhan Dursun,M,26.0,182.0,76.0,Turkey,TUR,1988 Winter,1988,Winter,Calgary,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,No Medal,182.0,76.0
Lee Sang-Hwa,F,20.0,165.0,62.0,South Korea,KOR,2010 Winter,2010,Winter,Vancouver,Speed Skating,"Speed Skating Women's 1,000 metres",No Medal,165.0,62.0
Aleksandr Veniaminovich Abushakhmetov,M,25.0,189.0,81.0,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Fencing,"Fencing Men's epee, Team",Bronze,189.0,81.0
Kroly Schupkgel,M,27.0,157.0,55.0,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Men's Parallel Bars,No Medal,157.0,55.0
Rosemarie Whyte,F,21.0,174.0,65.0,Jamaica,JAM,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 400 metres,No Medal,174.0,65.0
Francesco Costa,M,28.0,185.0,90.0,Italy,ITA,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Four,No Medal,185.0,90.0
Brendan Boyce,M,29.0,183.0,76.0,Ireland,IRL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 50 kilometres Walk,No Medal,183.0,76.0
Anatoly Vasilyevich Akentyev,M,28.0,185.0,80.0,Soviet Union,URS,1968 Winter,1968,Winter,Grenoble,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,No Medal,185.0,80.0
Elbieta Franke-Cymerman,F,32.0,160.0,58.0,Poland,POL,1972 Summer,1972,Summer,Munich,Fencing,"Fencing Women's Foil, Individual",No Medal,160.0,58.0
Le Huilin,F,27.0,172.0,62.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Women's Foil, Individual",No Medal,172.0,62.0
Nabiba Naftali Temu,M,23.0,174.0,62.0,Kenya,KEN,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Marathon,No Medal,174.0,62.0
Lars-Erik Jrgen Persson,M,30.0,186.0,77.0,Sweden,SWE,1996 Summer,1996,Summer,Atlanta,Table Tennis,Table Tennis Men's Singles,No Medal,186.0,77.0
"Clifton Emmett ""Cliff"" Cushman",M,22.0,188.0,72.0,United States,USA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 400 metres Hurdles,Silver,188.0,72.0
Brennon James Dowrick,M,20.0,170.0,70.0,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Men's Floor Exercise,No Medal,170.0,70.0
Muriel Hurtis-Houairi,F,25.0,180.0,68.0,France,FRA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze,180.0,68.0
Li Jianrou,F,27.0,160.0,55.0,China,CHN,2014 Winter,2014,Winter,Sochi,Short Track Speed Skating,"Short Track Speed Skating Women's 1,500 metres",No Medal,160.0,55.0
Edgar Isaac Seligman,M,65.0,174.0,80.0,Great Britain,GBR,1932 Summer,1932,Summer,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No Medal,174.0,80.0
Michael Florian Hadschieff,M,24.0,185.0,75.0,Austria,AUT,1988 Winter,1988,Winter,Calgary,Speed Skating,"Speed Skating Men's 5,000 metres",No Medal,185.0,75.0
Aleksandr Viktorovich Khoroshilov,M,21.0,182.0,80.0,Russia,RUS,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Men's Super G,No Medal,182.0,80.0
Nasreddine Megdich,M,24.0,179.0,80.0,Qatar,QAT,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Men's Handball,No Medal,179.0,80.0
Hadriaan van Nes,M,26.0,192.0,89.0,Netherlands,NED,1968 Summer,1968,Summer,Mexico City,Rowing,Rowing Men's Coxed Pairs,Silver,192.0,89.0
"Nicholas ""Nick"" Cleaver",M,16.0,177.0,75.0,Australia,AUS,1992 Winter,1992,Winter,Albertville,Freestyle Skiing,Freestyle Skiing Men's Moguls,No Medal,177.0,75.0
Cinzia Cavazzuti,F,30.0,168.0,57.0,Italy,ITA,2004 Summer,2004,Summer,Athina,Judo,Judo Women's Lightweight,No Medal,168.0,57.0
Ivan Satrapa,M,30.0,182.0,88.0,Czechoslovakia,TCH,1976 Summer,1976,Summer,Montreal,Handball,Handball Men's Handball,No Medal,182.0,88.0
Rubn Junco Borrell,M,18.0,154.0,76.0,Cuba,CUB,1968 Summer,1968,Summer,Mexico City,Water Polo,Water Polo Men's Water Polo,No Medal,154.0,76.0
Stephanus Jan Ferdinand Botha,M,29.0,192.0,86.0,South Africa,RSA,1960 Summer,1960,Summer,Roma,Water Polo,Water Polo Men's Water Polo,No Medal,192.0,86.0
